證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
2881,富邦金          ,81031797.0,20409989.0,60621808.0,0.0,0.0,0.0,60052.0,36812871.0,-36752819,352744.0,347531.0,61000.0,286531.0,592729.0,526516.0,66213.0,24221733.0,0.0
2882,國泰金          ,44279683.0,14999115.0,29280568.0,0.0,0.0,0.0,286000.0,21188490.0,-20902490,-270083.0,354109.0,452000.0,-97891.0,505097.0,677289.0,-172192.0,8107995.0,0.0
2887,台新新光金      ,89598488.0,41897971.0,47700517.0,0.0,0.0,0.0,3552000.0,14489257.0,-10937257,-3890655.0,0.0,215000.0,-215000.0,454345.0,4130000.0,-3675655.0,32872605.0,0.0
2606,裕民            ,10000122.0,2878000.0,7122122.0,0.0,0.0,0.0,0.0,9511000.0,-9511000,-207035.0,26449.0,113580.0,-87131.0,115000.0,234904.0,-119904.0,-2595913.0,0.0
2883,凱基金          ,28784629.0,24793160.0,3991469.0,0.0,0.0,0.0,975000.0,7579550.0,-6604550,-635164.0,18000.0,5346.0,12654.0,140362.0,788180.0,-647818.0,-3248245.0,0.0
2890,永豐金          ,23217354.0,13861440.0,9355914.0,0.0,0.0,0.0,0.0,5903971.0,-5903971,-504731.0,59000.0,106813.0,-47813.0,9000.0,465918.0,-456918.0,2947212.0,0.0
2891,中信金          ,28379176.0,15128967.0,13250209.0,0.0,0.0,0.0,715000.0,6484603.0,-5769603,-140937.0,0.0,1000.0,-1000.0,551265.0,691202.0,-139937.0,7339669.0,0.0
2301,光寶科          ,18665428.0,19853088.0,-1187660.0,0.0,0.0,0.0,2719.0,3778564.0,-3775845,-359229.0,49000.0,121716.0,-72716.0,495455.0,781968.0,-286513.0,-5322734.0,0.0
2880,華南金          ,8106436.0,6655020.0,1451416.0,0.0,0.0,0.0,0.0,3476000.0,-3476000,-287228.0,13000.0,13228.0,-228.0,102000.0,389000.0,-287000.0,-2311812.0,0.0
3665,貿聯-KY         ,5679244.0,3143979.0,2535265.0,0.0,0.0,0.0,8000.0,3389056.0,-3381056,165585.0,168600.0,75854.0,92746.0,385360.0,312521.0,72839.0,-680206.0,0.0
2377,微星            ,10768982.0,13034809.0,-2265827.0,0.0,0.0,0.0,3000.0,3213365.0,-3210365,-1116333.0,82000.0,439728.0,-357728.0,126687.0,885292.0,-758605.0,-6592525.0,0.0
4958,臻鼎-KY         ,12364702.0,22401052.0,-10036350.0,0.0,0.0,0.0,0.0,3125064.0,-3125064,-433388.0,27000.0,210000.0,-183000.0,1654060.0,1904448.0,-250388.0,-13594802.0,0.0
2337,旺宏            ,43141990.0,43632831.0,-490841.0,0.0,0.0,0.0,200000.0,2510000.0,-2310000,-258879.0,723000.0,650000.0,73000.0,529672.0,861551.0,-331879.0,-3059720.0,0.0
8046,南電            ,8070641.0,6478911.0,1591730.0,0.0,0.0,0.0,230000.0,1978000.0,-1748000,-147853.0,111804.0,294224.0,-182420.0,845415.0,810848.0,34567.0,-304123.0,0.0
2884,玉山金          ,24571610.0,21187379.0,3384231.0,0.0,0.0,0.0,166000.0,1670403.0,-1504403,-64517.0,6000.0,74429.0,-68429.0,279912.0,276000.0,3912.0,1815311.0,0.0
"=""00992A""",主動群益科技創新,14775100.0,40165025.0,-25389925.0,0.0,0.0,0.0,0.0,1200000.0,-1200000,-32234630.0,0.0,270000.0,-270000.0,10931893.0,42896523.0,-31964630.0,-58824555.0,0.0
3037,欣興            ,6980300.0,13113381.0,-6133081.0,0.0,0.0,0.0,76000.0,1222000.0,-1146000,-928363.0,67000.0,799430.0,-732430.0,1856355.0,2052288.0,-195933.0,-8207444.0,0.0
2027,大成鋼          ,32064174.0,9037300.0,23026874.0,0.0,0.0,0.0,0.0,1115000.0,-1115000,182045.0,216767.0,121000.0,95767.0,529659.0,443381.0,86278.0,22093919.0,0.0
2382,廣達            ,12819655.0,39971227.0,-27151572.0,0.0,0.0,0.0,131000.0,1028816.0,-897816,-1617747.0,767000.0,2331328.0,-1564328.0,560581.0,614000.0,-53419.0,-29667135.0,0.0
2618,長榮航          ,8836810.0,13099335.0,-4262525.0,0.0,0.0,0.0,15000.0,884602.0,-869602,-207015.0,20000.0,26000.0,-6000.0,99540.0,300555.0,-201015.0,-5339142.0,0.0
2368,金像電          ,1588319.0,3333737.0,-1745418.0,0.0,0.0,0.0,232428.0,1094220.0,-861792,-97195.0,39000.0,72911.0,-33911.0,329217.0,392501.0,-63284.0,-2704405.0,0.0
3702,大聯大          ,6243472.0,4525000.0,1718472.0,0.0,0.0,0.0,5000.0,827000.0,-822000,-16258.0,368000.0,145000.0,223000.0,81349.0,320607.0,-239258.0,880214.0,0.0
1216,統一            ,16124110.0,4788969.0,11335141.0,0.0,0.0,0.0,57000.0,764000.0,-707000,-192339.0,1000.0,3000.0,-2000.0,117661.0,308000.0,-190339.0,10435802.0,0.0
9904,寶成            ,10014000.0,11120487.0,-1106487.0,0.0,0.0,0.0,13000.0,716000.0,-703000,-71443.0,13000.0,28941.0,-15941.0,31498.0,87000.0,-55502.0,-1880930.0,0.0
8103,瀚荃            ,1321000.0,518350.0,802650.0,0.0,0.0,0.0,0.0,594000.0,-594000,-3362.0,2000.0,2000.0,0.0,2000.0,5362.0,-3362.0,205288.0,0.0
9938,百和            ,955000.0,820031.0,134969.0,0.0,0.0,0.0,0.0,591000.0,-591000,-19187.0,7000.0,26187.0,-19187.0,0.0,0.0,0.0,-475218.0,0.0
2385,群光            ,1625765.0,2893216.0,-1267451.0,0.0,0.0,0.0,34700.0,598328.0,-563628,150466.0,174000.0,8205.0,165795.0,45000.0,60329.0,-15329.0,-1680613.0,0.0
3443,創意            ,2179109.0,1063033.0,1116076.0,0.0,0.0,0.0,127112.0,658394.0,-531282,-97592.0,22000.0,102153.0,-80153.0,68658.0,86097.0,-17439.0,487202.0,0.0
"=""00988A""",主動統一全球創新,4795400.0,5194300.0,-398900.0,0.0,0.0,0.0,28000.0,540000.0,-512000,-41854227.0,0.0,0.0,0.0,5423000.0,47277227.0,-41854227.0,-42765127.0,0.0
"=""0050""",元大台灣50      ,7829310.0,31896955.0,-24067645.0,0.0,0.0,0.0,0.0,495000.0,-495000,2010209.0,3037000.0,1305000.0,1732000.0,13815520.0,13537311.0,278209.0,-22552436.0,0.0
