排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,30508000
2,2618,長榮航,11859558
3,2382,廣達,9439000
4,2886,兆豐金,7957000
5,3045,台灣大,6197000
6,2356,英業達,6170000
7,2880,華南金,5782000
8,2883,凱基金,4804000
9,1216,統一,3989000
10,3702,大聯大,3678000
11,4958,臻鼎-KY,3420000
12,4919,新唐,3076000
13,5876,上海商銀,3075000
14,3706,神達,2866000
15,2892,第一金,2846000
16,3090,日電貿,2305000
17,2801,彰銀,2041000
18,5871,中租-KY,1848583
19,3189,景碩,1777000
20,2615,萬海,1412000
21,3036,文曄,1382000
22,6239,力成,1213000
23,4904,遠傳,1117000
24,2481,強茂,1090000
25,6271,同欣電,1077000
26,8046,南電,1060000
27,2603,長榮,986220
28,2421,建準,936000
29,2912,統一超,936000
30,4938,和碩,891001
